Times: 14.210180282592773, Memory: 40967166
Times: 11.046799659729004, Memory: 40967166
Times: 10.97044825553894, Memory: 40518546
Times: 13.856136798858643, Memory: 40518546
Times: 10.464288473129272, Memory: 42661625
Times: 11.00399136543274, Memory: 42661625
Times: 5.4687323570251465, Memory: 40518546
Times: 3.2837562561035156, Memory: 40518546
Times: 3.253509044647217, Memory: 42661625
Times: 3.0676701068878174, Memory: 42661625
