Times: 0.7789335250854492, Memory: 40015680
Times: 0.7478470802307129, Memory: 40015680
Times: 0.4129815101623535, Memory: 40000071
Times: 0.4133737087249756, Memory: 40000071
Times: 0.4828035831451416, Memory: 40000063
Times: 0.4797954559326172, Memory: 40000063
Times: 0.362835168838501, Memory: 40000071
Times: 0.36656999588012695, Memory: 40000071
Times: 0.4264252185821533, Memory: 40000063
Times: 0.4260885715484619, Memory: 40000063
